Name,Rarity,Attune,Type,Cost,Consumable?,Tool Proficiency,Spells Needed,Item Needed,Other Requirements,Description,Source,Craftable?,Lootable?,PLACEHOLDER
Potions and Oils,,,,,,,,,,,,,,a
Potion of Bewitching,Common,No,Potion,75,Yes,Alchemist Supplies,,,,,,Yes,Yes,a
Potion of Climbing,Common,No,Potion,180,Yes,Alchemist Supplies,,,,When you drink this potiona445 you gain a climbing speed equal to your walking speed for 1 hour. During this timea445 you have advantage on Strength (Athletics) checks you make to climb. The potion is separated into browna445 silvera445 and gray layers resembling bands of stone. Shaking the bottle fails to mix the colors.,DMGa445 page 187,Yes,Yes,a
Potion of Healing,Common,No,Potion,50,Yes,Herbalism Kit,,,,You regain 2d4 + 2 hit points when you drink this potion. The potion's red liquid glimmers when agitated.,DMGa445 page 187,Yes,Yes,a
Bottled Breath,Uncommon,No,Potion,350,Yes,Alchemist Supplies,,,,This bottle contains a breath of elemental air. When you inhale ita445 you either exhale it or hold it.a446If you exhale the breatha445 you gain the effect of the gust of wind spell. If you hold the breatha445 you don't need to breathe for 1 houra445 though you can end this benefit early (for examplea445 to speak). Ending it early doesn't give you the benefit of exhaling the breath.,PotAa445 page 222,Yes,Yes,a
Oil of Slipperiness,Uncommon,No,Potion,480,Yes,Alchemist Supplies,,,,This sticky black unguent is thick and heavy in the containera445 but it flows quickly when poured. The oil can cover a Medium or smaller creaturea445 along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of a freedom of movement spell for 8 hours.a446Alternativelya445 the oil can be poured on the ground as an actiona445 where it covers a 10-foot squarea445 duplicating the effect of the grease spell in that area for 8 hours.,DMGa445 page 184,Yes,Yes,a
Philter of Love,Uncommon,No,Potion,90,Yes,Alchemist Supplies,,,,The next time you see a creature within 10 minutes after drinking this philtera445 you become charmed by that creature for 1 hour. If the creature is of a species and gender you are normally attracted toa445 you regard it as your true love while you are charmed. This potion's rose-hueda445 effervescent liquid contains one easy-to-miss bubble shaped like a heart.,DMGa445 page 184,Yes,Yes,a
Potion of Animal Friendship,Uncommon,No,Potion,200,Yes,Alchemist Supplies,Animal Friendship,,,When you drink this potiona445 you can cast the animal friendship spell (save DC 13) for 1 hour at will. Agitating this muddy liquid brings little bits into view: a fish scalea445 a hummingbird tonguea445 a cat clawa445 or a squirrel hair.,DMGa445 page 187,Yes,Yes,a
Potion of Fire Breath,Uncommon,No,Potion,150,Yes,Alchemist Supplies,,,,After drinking this potiona445 you can use a bonus action to exhale fire at a target within 30 feet of you. The target must make a DC 13 Dexterity saving throwa445 taking 4d6 fire damage on a failed savea445 or half as much damage on a successful one. The effect ends after you exhale the fire three times or when 1 hour has passed. This potion's orange liquid flickersa445 and smoke fills the top of the container and wafts out whenever it is opened.,DMGa445 page 187,Yes,Yes,a
Potion of Giant’s Strength (Hill),Uncommon,No,Potion,125,Yes,Alchemist Supplies,,,,When you drink this potiona445 your Strength score changes to 21 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.a446This potion's transparent liquid has floating in it a sliver of fingernail from a hill giant.,DMGa445 page 187,Yes,Yes,a
Potion of Growth,Uncommon,No,Potion,270,Yes,Alchemist Supplies,Enlarge/Reduce,,,When you drink this potiona445 you gain the enlarge effect of the enlarge/reduce spell for 1d4 hours (no concentration required). The red in the potion's liquid continuously expands from a tiny bead to color the clear liquid around it and then contracts. Shaking the bottle fails to interrupt this process.,DMGa445 page 187,Yes,Yes,a
Potion of Greater Healing,Uncommon,No,Potion,150,Yes,Herbalism Kit,,,,You regain 4d4 + 4 hit points when you drink this potion. The potion's red liquid glimmers when agitated.,DMGa445 page 187,Yes,Yes,a
Potion of Poison,Uncommon,No,Potion,100,Yes,Alchemist Supplies,Minor Illusion?,,,This concoction looksa445 smellsa445 and tastes like a potion of healing or other beneficial potion. Howevera445 it is actually poison masked by illusion magic. An identify spell reveals its true nature.a446If you drink ita445 you take 3d6 poison damagea445 and you must succeed on a DC 13 Constitution saving throw or be poisoned. At the start of each of your turns while you are poisoned in this waya445 you take 3d6 poison damage. At the end of each of your turnsa445 you can repeat the saving throw. On a successful savea445 the poison damage you take on your subsequent turns decreases by 1d6. The poison ends when the damage decreases to 0.,DMGa445 page 188,Yes,Yes,a
Potion of Resistance,Uncommon,No,Potion,300,Yes,Alchemist Supplies,,,,When you drink this potiona445 you gain resistance to acida445 colda445 firea445 forcea445 lightninga445 necrotica445 poisona445 psychica445 radianta445 or thunder damage for 1 hour depending on which potion of resistance you drink.,DMGa445 page 188,Yes,Yes,a
Potion of Water Breathing,Uncommon,No,Potion,180,Yes,Alchemist Supplies,,,,You can breathe underwater for 1 hour after drinking this potion. Its cloudy green fluid smells of the sea and has a jellyfish-like bubble floating in it.,DMGa445 page 188,Yes,Yes,a
Elixir of Health,Rare,No,Potion,120,Yes,Herbalism Kit,,,,When you drink this potiona445 it cures any disease afflicting youa445 and it removes the blindeda445 deafeneda445 paralyzeda445 and poisoned conditions. The clear red liquid has tiny bubbles of light in it.,DMGa445 page 168,Yes,Yes,a
